INSTNM,latitude,longitude,STABBR,ADM_RATE_ALL,SAT_AVG_ALL,UGDS,NPT4_PUB,NPT4_PRIV,C150_4,PCTFLOAN,PCTPELL,PPTUG_EF
Alabama A & M University,34.7834,-86.5685,AL,0.8989,823.0,4051.0,13415.0,18259.0,0.2914,0.8204,0.7115,0.0622
University of Alabama at Birmingham,33.5022,-86.8092,AL,0.8673,1146.0,11200.0,14805.0,18259.0,0.5377,0.5397,0.3505,0.2579
Amridge University,32.3626,-86.174,AL,0.7167,1048.0,322.0,8792.0,7455.0,0.6667,0.7629,0.6839,0.3727
University of Alabama in Huntsville,34.7228,-86.6384,AL,0.8062,1180.0,5525.0,17520.0,18259.0,0.4835,0.4728,0.3281,0.2395
Alabama State University,32.3643,-86.2957,AL,0.5125,830.0,5354.0,11936.0,18259.0,0.2517,0.8735,0.8265,0.0902
The University of Alabama,33.2144,-87.5458,AL,0.5655,1171.0,28692.0,20916.0,18259.0,0.6665,0.4148,0.2107,0.0852
Central Alabama Community College,32.9244,-85.9465,AL,0.7167,1048.0,1779.0,6407.0,18259.0,0.46545000000000003,0.4777,0.6515,0.466
Athens State University,34.8056,-86.9651,AL,0.7167,1048.0,2999.0,8792.0,18259.0,0.46545000000000003,0.6277,0.4107,0.5502
Auburn University at Montgomery,32.3699,-86.1774,AL,0.8371,970.0,4322.0,11915.0,18259.0,0.2705,0.6476,0.4006,0.3061
Auburn University,32.6002,-85.4924,AL,0.8274,1215.0,19761.0,17541.0,18259.0,0.6792,0.361,0.1687,0.0902
Birmingham Southern College,33.5155,-86.8536,AL,0.6422,1177.0,1181.0,8792.0,22994.0,0.6192,0.4939,0.2136,0.0119
Chattahoochee Valley Community College,32.4239,-85.0315,AL,0.7167,1048.0,1769.0,1873.0,18259.0,0.46545000000000003,0.1948,0.6116,0.4059
Concordia College Alabama,32.4223,-87.0242,AL,0.7167,1048.0,523.0,8792.0,12686.0,0.2115,0.91,0.8363,0.0631
South University-Montgomery,32.3427,-86.2165,AL,0.4829,1048.0,599.0,8792.0,23152.0,0.0784,0.7543,0.7131,0.4808
Enterprise State Community College,31.2975,-85.837,AL,0.7167,1048.0,1984.0,5048.0,18259.0,0.46545000000000003,0.2673,0.5121,0.3538
James H Faulkner State Community College,30.852,-87.7798,AL,0.7167,1048.0,4182.0,7404.0,18259.0,0.46545000000000003,0.4042,0.4885,0.3867
Faulkner University,32.3842,-86.2164,AL,0.7167,1048.0,2358.0,8792.0,17660.0,0.2287,0.7427,0.5816,0.2354
Gadsden State Community College,33.9919,-85.9913,AL,0.7167,1048.0,5480.0,4565.0,18259.0,0.46545000000000003,0.0,0.6,0.4345
New Beginning College of Cosmetology,34.2593,-86.2,AL,0.7167,1048.0,89.0,8792.0,9476.0,0.46545000000000003,0.4422,0.4898,0.0
George C Wallace State Community College-Dothan,31.3161,-85.4636,AL,0.7167,1048.0,4293.0,2681.0,18259.0,0.46545000000000003,0.0,0.5548,0.4675
George C Wallace State Community College-Hanceville,34.0734,-86.7817,AL,0.7167,1048.0,4904.0,6628.0,18259.0,0.46545000000000003,0.4174,0.5017,0.4052
George C Wallace State Community College-Selma,32.4456,-87.0132,AL,0.7167,1048.0,1604.0,8712.0,18259.0,0.46545000000000003,0.0,0.7687,0.3348
Herzing University-Birmingham,33.4681,-86.8323,AL,0.749,1048.0,318.0,8792.0,22518.0,0.1778,0.7153,0.6373,0.4969
Huntingdon College,32.3509,-86.2853,AL,0.6279,999.0,1100.0,8792.0,17864.0,0.4319,0.7227,0.4302,0.1836
Heritage Christian University,34.8591,-87.6621,AL,0.7167,1048.0,67.0,8792.0,9346.0,0.0,0.4839,0.4839,0.5224
J F Drake State Community and Technical College,34.7721,-86.5738,AL,0.7167,1048.0,1040.0,7163.0,18259.0,0.46545000000000003,0.0,0.5873,0.3894
Jacksonville State University,33.8221,-85.7666,AL,0.8326,1036.0,7195.0,16078.0,18259.0,0.3083,0.6811,0.4613,0.2128
Jefferson Davis Community College,31.102,-87.0858,AL,0.7167,1048.0,1037.0,3796.0,18259.0,0.46545000000000003,0.0,0.5283,0.4089
Jefferson State Community College,33.6524,-86.7074,AL,0.7167,1048.0,7494.0,8799.0,18259.0,0.46545000000000003,0.2323,0.3579,0.6182
John C Calhoun State Community College,34.6543,-86.9491,AL,0.7167,1048.0,9970.0,5278.0,18259.0,0.46545000000000003,0.2773,0.4032,0.5785
Judson College,32.6305,-87.3161,AL,0.7388,1023.0,331.0,8792.0,17243.0,0.4051,0.711,0.4788,0.2115
Lawson State Community College-Birmingham Campus,33.4517,-86.8902,AL,0.7167,1048.0,2894.0,7406.0,18259.0,0.46545000000000003,0.0,0.6821,0.3825
University of West Alabama,32.5924,-88.1861,AL,0.9957,950.0,1988.0,13221.0,18259.0,0.3161,0.7193,0.5604,0.1479
Lurleen B Wallace Community College,31.3229,-86.4523,AL,0.7167,1048.0,1372.0,8041.0,18259.0,0.46545000000000003,0.0,0.5753,0.2937
Marion Military Institute,32.6224,-87.318,AL,0.6034,1040.0,411.0,11013.0,18259.0,0.46545000000000003,0.6257,0.4424,0.0
Miles College,33.4813,-86.9086,AL,0.7167,1048.0,1663.0,8792.0,15217.0,0.216,0.9184,0.8227,0.0523
University of Mobile,30.7932,-88.1289,AL,0.7125,1058.0,1472.0,8792.0,17970.0,0.4904,0.8009,0.5032,0.1461
University of Montevallo,33.1063,-86.8651,AL,0.8729,1070.0,2610.0,15003.0,18259.0,0.4493,0.5872,0.4136,0.1004
Northwest-Shoals Community College,34.7396,-87.6773,AL,0.7167,1048.0,3235.0,4678.0,18259.0,0.46545000000000003,0.2559,0.5233,0.4331
University of North Alabama,34.8066,-87.681,AL,0.8092,1028.0,5536.0,11476.0,18259.0,0.3216,0.6883,0.4192,0.1358
Northeast Alabama Community College,34.5455,-85.9117,AL,0.7167,1048.0,2376.0,2544.0,18259.0,0.46545000000000003,0.0,0.628,0.3973
Oakwood University,34.7566,-86.6616,AL,0.3435,924.0,1854.0,8792.0,26954.0,0.3632,0.7411,0.5066,0.0453
Alabama Southern Community College,31.4889,-87.3264,AL,0.7167,1048.0,1218.0,4998.0,18259.0,0.46545000000000003,0.0,0.5602,0.2726
Prince Institute-Southeast,32.3831,-86.1622,AL,0.7167,1048.0,102.0,8792.0,20904.0,0.46545000000000003,0.8678,0.6446,0.0
Reid State Technical College,31.4607,-86.9645,AL,0.7167,1048.0,414.0,4912.0,18259.0,0.46545000000000003,0.0,0.701,0.372
Bishop State Community College,30.694,-88.057,AL,0.7167,1048.0,3363.0,5145.0,18259.0,0.46545000000000003,0.0,0.6352,0.3547
Samford University,33.4646,-86.7909,AL,0.7697,1153.0,2995.0,8792.0,24093.0,0.692,0.3653,0.1494,0.0504
Selma University,32.4204,-87.0338,AL,0.7167,1048.0,447.0,8792.0,8427.0,0.2133,0.7679,0.75,0.2841
Shelton State Community College,33.1205,-87.5615,AL,0.7167,1048.0,4859.0,8587.0,18259.0,0.46545000000000003,0.0,0.5217,0.495
Snead State Community College,34.2007,-86.1695,AL,0.7167,1048.0,2161.0,3884.0,18259.0,0.46545000000000003,0.2344,0.5743,0.2883
University of South Alabama,30.6951,-88.1819,AL,0.8604,1064.0,11048.0,13027.0,18259.0,0.3342,0.5549,0.3743,0.2076
Spring Hill College,30.6948,-88.1382,AL,0.4627,1100.0,1269.0,8792.0,18555.0,0.5632,0.6564,0.3328,0.0504
Southeastern Bible College,33.3789,-86.749,AL,0.9615,970.0,160.0,8792.0,12954.0,0.1935,0.7877,0.6089,0.1875
Stillman College,33.1992,-87.5852,AL,0.43,882.0,863.0,8792.0,17473.0,0.2619,0.8145,0.7429,0.0637
Talladega College,33.4343,-86.1137,AL,0.7167,1048.0,894.0,8792.0,9062.0,0.824,0.928,0.9663,0.0503
